condition,step_t,mean_pre_norm,std_pre_norm,mean_post_norm,std_post_norm,mean_pre_proj,mean_post_proj,mean_delta_proj,mean_cosine_sim,std_cosine_sim
baseline,1,53.44,0.6,53.44,0.6,-0.17,-0.17,0.0,-0.0032,0.016
baseline,10,53.56,0.69,53.56,0.69,-0.13,-0.13,0.0,-0.0024,0.0172
baseline,16,53.41,0.68,53.41,0.68,0.07,0.07,0.0,0.0014,0.0171
baseline,50,53.39,0.64,53.39,0.64,-0.01,-0.01,0.0,-0.0002,0.0157
baseline,100,53.45,0.73,53.45,0.73,-0.23,-0.23,0.0,-0.0044,0.0173
continuous,1,53.44,0.6,56.33,0.58,-0.17,17.83,18.0,0.3164,0.0146
continuous,10,53.56,0.69,56.46,0.69,-0.13,17.87,18.0,0.3165,0.0155
continuous,16,53.41,0.68,56.39,0.69,0.07,18.07,18.0,0.3205,0.0152
continuous,50,53.39,0.64,56.34,0.7,-0.01,17.99,18.0,0.3192,0.0132
continuous,100,53.45,0.73,56.32,0.8,-0.23,17.77,18.0,0.3154,0.0146
hard_cutoff,1,53.44,0.6,56.33,0.58,-0.17,17.83,18.0,0.3164,0.0146
hard_cutoff,10,53.56,0.69,56.46,0.69,-0.13,17.87,18.0,0.3165,0.0155
hard_cutoff,16,53.41,0.68,56.39,0.69,0.07,18.07,18.0,0.3205,0.0152
hard_cutoff,50,53.39,0.64,53.39,0.64,-0.01,-0.01,0.0,-0.0002,0.0157
hard_cutoff,100,53.45,0.73,53.45,0.73,-0.23,-0.23,0.0,-0.0044,0.0173
linear_decay,1,53.44,0.6,56.33,0.58,-0.17,17.83,18.0,0.3164,0.0146
linear_decay,10,53.56,0.69,54.11,0.68,-0.13,7.75,7.88,0.1432,0.017
linear_decay,16,53.41,0.68,53.43,0.68,0.07,1.2,1.13,0.0224,0.0171
linear_decay,50,53.39,0.64,53.39,0.64,-0.01,-0.01,0.0,-0.0002,0.0157
linear_decay,100,53.45,0.73,53.45,0.73,-0.23,-0.23,0.0,-0.0044,0.0173
