condition,step_t,mean_post_norm,std_post_norm,mean_projection,std_projection,mean_cosine_sim,std_cosine_sim
baseline,1,53.49,0.21,-0.02,0.09,-0.0004,0.0017
baseline,10,53.58,0.2,0.01,0.09,0.0001,0.0018
baseline,16,53.52,0.14,0.01,0.07,0.0003,0.0013
baseline,50,53.44,0.19,-0.0,0.11,-0.0,0.002
baseline,100,53.47,0.17,0.04,0.08,0.0008,0.0015
continuous,1,56.25,0.24,14.41,0.07,0.2562,0.0017
continuous,10,56.21,0.23,14.38,0.09,0.2559,0.0021
continuous,16,56.27,0.21,14.35,0.09,0.255,0.0018
continuous,50,56.23,0.19,14.38,0.09,0.2558,0.002
continuous,100,56.22,0.18,14.45,0.11,0.257,0.002
